country_code,year,odin_coverage,odin_openness,odin_overall
ABW,2022,0.6931438127090301,0.7043478260869565,0.6987458193979933
ABW,2024,0.4090909090909091,0.4409090909090909,0.42500000000000004
AFG,2017,0.43157894736842106,0.4545454545454545,0.44306220095693777
AFG,2018,0.6282296650717702,0.6090909090909091,0.6186602870813397
AFG,2020,0.6281992606935398,0.5739130434782609,0.6010561520859004
AFG,2022,0.6039429677873615,0.6173913043478262,0.6106671360675938
AFG,2024,0.3631461675579323,0.4545454545454545,0.4088458110516934
AGO,2016,0.41624649859943974,0.45714285714285713,0.43669467787114846
AGO,2017,0.3301435406698564,0.46363636363636357,0.39688995215310996
AGO,2018,0.28325358851674637,0.43636363636363634,0.35980861244019136
AGO,2020,0.7643020594965676,0.7478260869565216,0.7560640732265447
AGO,2022,0.6338672768878719,0.6260869565217391,0.6299771167048055
AGO,2024,0.4291443850267379,0.39090909090909093,0.41002673796791445
AIA,2016,0.22619047619047616,0.2095238095238095,0.21785714285714283
AIA,2017,0.2159090909090909,0.24545454545454545,0.23068181818181818
AIA,2018,0.3427033492822966,0.43636363636363634,0.38953349282296645
AIA,2020,0.2173913043478261,0.24347826086956523,0.23043478260869565
AIA,2022,0.32608695652173914,0.4,0.3630434782608696
AIA,2024,0.20359848484848483,0.28181818181818186,0.24270833333333336
ALB,2016,0.9585434173669469,1.0380952380952382,0.9983193277310926
ALB,2017,0.8636363636363636,1.0818181818181818,0.9727272727272727
ALB,2018,0.8813397129186603,1.1363636363636362,1.0088516746411482
ALB,2020,0.8370709382151029,1.0347826086956524,0.9359267734553777
ALB,2022,1.0391832423869036,1.1043478260869564,1.0717655342369299
ALB,2024,0.49763814616755786,0.5545454545454545,0.5260918003565062
AND,2017,0.45992822966507174,0.6181818181818182,0.539055023923445
AND,2018,0.5412679425837321,0.6818181818181819,0.611543062200957
AND,2020,0.511705685618729,0.6434782608695653,0.5775919732441471
AND,2022,0.8377926421404682,1.2434782608695651,1.0406354515050167
AND,2024,0.4564393939393939,0.6363636363636364,0.5464015151515151
ARE,2016,0.6700280112044819,0.6,0.6350140056022409
ARE,2017,0.654066985645933,1.2545454545454544,0.9543062200956938
ARE,2018,0.6660287081339713,1.1727272727272728,0.9193779904306221
ARE,2020,0.9958810068649886,1.652173913043478,1.3240274599542334
ARE,2022,1.1560640732265446,1.6782608695652173,1.4171624713958808
ARE,2024,0.6467914438502673,0.9272727272727274,0.7870320855614974
ARG,2016,0.6676470588235295,0.5333333333333333,0.6004901960784315
ARG,2017,0.6875598086124401,0.7181818181818181,0.7028708133971291
ARG,2018,0.7253588516746411,0.7454545454545455,0.7354066985645933
ARG,2020,0.8801971483893682,0.826086956521739,0.8531420524555536
ARG,2022,0.891744411195212,0.817391304347826,0.854567857771519
ARG,2024,0.5251336898395722,0.5681818181818181,0.5466577540106952
ARM,2016,0.9064425770308123,1.019047619047619,0.9627450980392156
ARM,2017,0.9177033492822968,1.0363636363636364,0.9770334928229666
ARM,2018,0.8617224880382774,1.018181818181818,0.9399521531100478
ARM,2020,0.9327231121281464,1.0,0.9663615560640733
ARM,2022,0.9958810068649886,1.0347826086956522,1.0153318077803204
ARM,2024,0.5486631016042781,0.5681818181818181,0.5584224598930481
ATG,2020,0.6036789297658863,0.7478260869565216,0.6757525083612039
ATG,2022,0.540969899665552,0.6434782608695653,0.5922240802675587
ATG,2024,0.32102272727272724,0.42272727272727273,0.37187499999999996
AUS,2016,0.9882352941176471,1.276190476190476,1.1322128851540616
AUS,2017,0.9240430622009569,1.5909090909090908,1.257476076555024
AUS,2018,0.9906514538093486,1.481818181818182,1.2362348178137652
AUS,2020,0.9657806724168282,1.347826086956522,1.156803379686675
AUS,2022,1.0196092237282168,1.5913043478260869,1.3054567857771517
AUS,2024,0.5946524064171123,0.859090909090909,0.7268716577540106
AUT,2016,0.9985994397759104,1.342857142857143,1.1707282913165267
AUT,2017,0.935944976076555,1.1727272727272728,1.0543361244019138
AUT,2018,1.0039013617960986,1.3818181818181818,1.1928597718071403
AUT,2020,0.9691603590917091,1.4434782608695653,1.2063193099806373
AUT,2022,0.9049111071994368,1.3043478260869565,1.1046294666431966
AUT,2024,0.5635472370766489,0.7727272727272727,0.6681372549019609
AZE,2016,1.011204481792717,0.7714285714285715,0.8913165266106442
AZE,2017,1.0214114832535883,0.8363636363636363,0.9288875598086124
AZE,2018,0.9736842105263157,0.8272727272727274,0.9004784688995215
AZE,2020,0.9920788593557471,1.017391304347826,1.0047350818517866
AZE,2022,0.9591269142756559,1.0782608695652174,1.0186938919204367
AZE,2024,0.5279411764705882,0.6000000000000001,0.5639705882352941
BDI,2016,0.7539215686274511,0.6380952380952382,0.6960084033613446
BDI,2017,0.6091507177033494,0.5545454545454545,0.581848086124402
BDI,2018,0.7345233713654766,0.6909090909090909,0.7127162311372838
BDI,2020,0.6036613272311213,0.808695652173913,0.7061784897025172
BDI,2022,0.6823798627002289,0.7652173913043478,0.7237986270022884
BDI,2024,0.461096256684492,0.7545454545454545,0.6078208556149732
BEL,2016,0.7777310924369748,1.1238095238095238,0.9507703081232493
BEL,2017,0.7850478468899521,0.9818181818181817,0.883433014354067
BEL,2018,0.7673536989326463,0.9363636363636363,0.8518586676481412
BEL,2020,0.7420876606231298,0.8434782608695652,0.7927829607463475
BEL,2022,0.8723464178841753,1.1043478260869564,0.9883471219855658
BEL,2024,0.4398841354723707,0.5363636363636364,0.48812388591800354
BEN,2016,0.45140056022408964,0.43809523809523815,0.4447478991596639
BEN,2017,0.25316985645933016,0.32727272727272727,0.29022129186602874
BEN,2018,0.3302171512697828,0.509090909090909,0.4196540301803459
BEN,2020,0.7430734025699701,1.1478260869565218,0.945449744763246
BEN,2022,0.7775039605703221,1.1391304347826088,0.9583171976764655
BEN,2024,0.48921568627450973,0.6363636363636364,0.562789661319073
BFA,2016,0.7124649859943978,0.5142857142857143,0.6133753501400561
BFA,2017,0.5751196172248804,0.5636363636363637,0.569377990430622
BFA,2018,0.6129186602870813,0.5818181818181818,0.5973684210526315
BFA,2020,0.8082379862700229,1.1217391304347826,0.9649885583524027
BFA,2022,0.7206477732793523,1.0956521739130434,0.9081499735961978
BFA,2024,0.5730837789661319,0.8318181818181818,0.7024509803921568
BGD,2016,0.7514005602240896,0.5714285714285714,0.6614145658263305
BGD,2017,0.6889952153110047,0.6909090909090909,0.6899521531100479
